SCHOOL OF MANAGEMENT & COMMERCE:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,At least 1 out of Industry mentor or Alumni Mentor or Faculty Co-Mentor from outside MRU is required.,,,,,,,,,,,,,,,,,,,,,
Sl . No.,Name of Faculty,Designation,Problem Statement,IDPaspectInproblemStatement,facultyComentorFromMRU,industryMentor,alumniMentor,facultyComentorOutsideMRU,DisciplinesInvovled,"Expected Outcome
1 or more out of the following:
Research paper
Copyright
Prototype
Patent
Product
Startup
Innovation
Newspaper Article
Vlog/Blog",SDGs,societalOrIndustrialImpact,,,,,,,,,,,,,,,
1,Prof. (Dr.) Parul Jhajharia,"Prof., Dean Mgmt. & Comm.",,,,,,,,,,,,,,,,,,,,,,,,,
2,Prof. (Dr.) Pooja Kapoor ,Professor,,,,,,,,,,,,,,,,,,,,,,,,,
3,Prof. (Dr.) Pragati Chauhan & Dr. Teena Hassija,Professor, Tech Startup Incubation Project ,"Focus: Development of a tech-based product or service.
Engineering Role: Design and prototype development.
Management Role: Business planning, marketing, funding strategy.
Law Role: Intellectual property rights (IPR), regulatory compliance, contract drafting.
",,,,,"SOE
SOL
SoMC",,,,,,,,,,,,,,,,,,
4,Prof. (Dr.) Yogita Sharma,"Professor
Dean Student Welfare"," Technology Commercialization and IP Strategy
","Focus: Taking innovations from lab to market.
Engineering Role: Innovating or refining the tech.
Management Role: Market research, business modeling, investor pitches.
Law Role: Drafting patent claims, licensing agreements, IP portfolio management.",,,,,"SOE
SOL
SoMC",,,,,,,,,,,,,,,,,,
5,Prof. (Dr.) Sunil Kr Roy,"HoD, Professor",Smart City Solutions,"Focus: Urban development projects using smart technology.
Engineering Role: IoT systems, sustainable infrastructure, data analytics.
Management Role: Project management, financial viability, stakeholder engagement.
Law Role: Urban laws, environmental regulations, public-private partnerships.
",Dr. Gurpreet Kaur,,,,"SOE
SOL
SoMC",,,,,,,,,,,,,,,,,,
6,Prof. (Dr.) Animesh Singh,Professor,,,,,,,,,,,,,,,,,,,,,,,,,
7,Dr. Akanchha Singh,Asstt. Prof.,,,,,,,,,,,,,,,,,,,,,,,,,
8,Dr. Gurpreet Kaur,Assoc. Prof.,Determination & Assessment of financial Risk using Predictive Modelling,,,,,,,,,,,,,,,,,,,,,,,,
