PROGRAM PHYSICS:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,At least 1 out of Industry mentor or Alumni Mentor or Faculty Co-Mentor from outside MRU is required.,,,,,,,,,,,,,,,,,,,,,
Sl No,Name of Faculty,Designation,Problem Statement,IDPaspectInproblemStatement,facultyComentorFromMRU,industryMentor,alumniMentor,facultyComentorOutsideMRU,DisciplinesInvovled,"Expected Outcome
1 or more out of the following:
Research paper
Copyright
Prototype
Patent
Product
Startup
Innovation
Newspaper Article
Vlog/Blog",SDGs,societalOrIndustrialImpact,,,,,,,,,,,,,,,
1,Prof. (Dr.) D. K. Sharma,"Prof., Dean-Examination",Study of TEC using GNSS receiver,Irregularities in ionospheric densities will affect the radio communication. This study will be more beneficial for ECE students.,Dr. Ananna Bardhan,"Dr. Nirvikar from NARL-ISRO, Tirupati",NA,NA,ECE,Research Paper,SDG 9,Contibution to new knowledge,,,,,,,,,,,,,,,
2,Prof. (Dr.) Sandeep Kumar,"Professor, 
Program Head-Physics
          ","Simulations of laser-wakefield calculation using FBPIC, a Particle-In-Cell (PIC) open source code. ","This project will integrate knowledge of C++, Python, and Linux operating system use for modelling laser Wakefield acceleration. The project will bridge gap between theory and application. ",Dr. J. P. Singh,"Prof. Moses Chung (POSTECH, Pohang, S. Korea)",Ms. Shruti Gulihar,Prof. H. K. Malik (IIT Delhi),CST/ECE/ME,Research Paper,"SDG 3, 4, 7, 9","LPWA represents a significant technological innovation in accelerator physics, New diagnostic tools for health care, Accelerates development of next-generation energy technologies, Opens up access to high-energy physics research in regions without large-scale facilities",,,,,,,,,,,,,,,
3,Dr. Jitendra Pal Singh,Ramanujan Fellow,"1. Synthesis of Nickel Cobalt Mangnese Oxide (NCM111) Material,                                                                                           2.  Senstitvity of Photoresists on EUV Lithography: Theortical Consideration (Tentative)                                                             3. Synthesis of LuFe2O4  for Multiferroic Behavior                                                                                                                     4. Unifying the synthesis Mechanism of spinel ferrite from fruit waste                                                                                      5. Growth inhibition and stabililty of Calcium Carbonate                                                                                                           6. Design of Load-lock chambe with radio sputtering at UIC   ",1. Synthesized material will be used as a cathode material for rechargeable battery                                                                 2. Semiconducting device fabrication,1. Dr. Jai Parkash                                        2.Looking for                                 3. Dr. Jai Parkash                                         4. Looking for                                5. Looking for                                                                                                                  6. Looking for,"1. Prof. Keun Hwa Chae, KIST Korea 
2. Prof Sangsul Lee, POSTECH Korea                   3. Dr. V. Raghvendra Reddy, UGC-DAE CSR Indore                                                     4. Prof. Ha Noi University, Vietnaam           5. Dr. W. C. Lim, KIST Korea                       6. IUAC New Delhi",NA,"Prof Sangsul Lee, POSTECH Korea",ME/Materials/ECE/CST,Research Paper,SDG 9,Contibution to new knowledge,,,,,,,,,,,,,,,
4,Dr. Jai Parkash ,Assoc. Prof.               ,"1. Synthesis of Room temperature Multiferroics,                                                          2.  Development and testing of Ion implantation Induced Charge Transport Layers in Perovskite Solar Cells for Enhancing the Efficiency(Tentative)","1. It is an interdisciplinary project because it integrates knowledge and techniques from multiple scientific fields like Physics, Chemistry, Material Science and Enginnering. (a) Physics will help in understanding  the fundamental mechanisms of ferroelectricity, magnetism, and their coupling. (b) Chemistry will play a key role in material synthesis, doping strategies, and phase formation. (c) Materials Science is essential for tailoring properties through microstructural control and advanced characterization techniques.(d) Engineering contributes to the development of devices and integration of these materials into sensors, memory.",1. Dr. Jitendra Pal Singh           2. Dr. Shiv Kumar Dixit,NA,NA,"Dr. Aditya Sharma, UPES Dehradun",ME/ECE,Research Paper,SDG-09,"1. It may enhance the storage density of computers and may enable magnetoelectric random access memory which is faster and consumes less energy than traditional one 2. Improved solar cell efficiency reduces dependency on fossil fuels and Solar energy production doesn’t emit pollutants, reducing health risks and ecosystem damage.",,,,,,,,,,,,,,,
5,Dr. Anshuman Sahai,Asstt. Prof.,Simulation of Raman Spectra for the estimation of crystallite size.,"A research work, capable for students having knowledge of MATLAB and PYTHON.",Dr. Deepti Maikhuri,NA,NA,"Dr. Monika Tomar, Univ. of Delhi","Chemistry, Physics, CST",Research Paper,SDG 9,Contibution to new knowledge,,,,,,,,,,,,,,,
6,Dr. Ananna Bardhan,Asstt. Prof.,Study of Earthquake precursors using GNSS data,Irregularities in atmospheric/ ionospheric parameters that will be affected by Earthquakes. The Earth prepares itself pre and post- occurance of Earthquakes. This study will be more beneficial for CSE students having background knowledge of PYTHON/ MATLAB etc.,Prof. D.K. Sharma,"Dr. Nirvikar form NARL-ISRO, Tirupati or other Scientists from IIRS, ISRO",NA,NA,CSE ,Research Paper,SDG 9,Contibution to new knowledge,,,,,,,,,,,,,,,
7,Dr. Deepti Maikhuri,Asstt. Prof.,Machine Learning enhanced evaluation of nonlinear optical properties of quantum dots,This project will implement Machine Learning to explore nonlinear optical properties of quantum dots,Any faculty memeber from CST with expertise in machine learning algorithms,NA,NA,NA,"CST, Physics",Research Paper,SDG 9,"Combining ML with QD research bridges computer science, physics, and materials science, fostering new methodologies for studying complex systems and accelerating scientific discovery.Also it will impact Photonics and Optoelectronics industry.",,,,,,,,,,,,,,,
8,Dr. Moditma,Asstt. Prof.,Machine learning assisted thin film growth using RF sputtering,"Thin film deposition using RF sputtering, machine learning optimization algorithms to be used",Dr. Jitnedra Pal Singh and Any faculty memeber from CST with expertise in machine learning algorithms,NA,NA,"Prof. S. Annapoorni, DU",Physics/Chemistry/ME and CST,Reseearch paper,"SDG 9, 12, 17","Minimization of resource consumption, knowledge enhancement of student and mentors",,,,,,,,,,,,,,,
